era,trigger,eta_r9_bin,pt_lo,pt_hi,eff_cms,err_hi_cms,err_lo_cms,status_pass_cms,status_fail_cms,eff_exp,err_hi_exp,err_lo_exp,status_pass_exp,status_fail_exp,bkg_syst,total_unc_hi,total_unc_lo
preBpix,unseed,EB_R9gt0p85,40.0,45.0,0.9999,0.0001,0.001,0,0,0.9999,0.0001,0.001,0,4,0.0,0.0001,0.001
preBpix,unseed,EB_R9gt0p85,45.0,50.0,0.9999,0.0001,0.001,0,0,0.9999,0.0001,0.001,0,0,0.0,9e-05,0.001
preBpix,unseed,EB_R9gt0p85,50.0,60.0,0.9998,0.0002,0.001,0,0,0.9998,0.0002,0.001,4,0,0.0,0.00018,0.001
preBpix,unseed,EB_R9gt0p85,60.0,70.0,0.9995,0.0005,0.001,0,0,0.9996,0.0004,0.001,0,0,0.0,0.00048,0.001001
preBpix,unseed,EB_R9gt0p85,70.0,90.0,0.9995,0.0005,0.001,4,0,1.0,0.0,0.001,0,0,0.0005,0.0005,0.001109
preBpix,unseed,EB_R9gt0p85,90.0,999999.0,0.9996,0.0004,0.001,0,0,0.9995,0.0005,0.001,0,4,0.0001,0.00039,0.001007
preBpix,unseed,EE_R9_0p90to0p93,0.0,21.0,0.9819,0.007,0.0112,0,0,0.9928,0.0072,0.0135,4,0,0.0109,0.012981,0.015607
preBpix,unseed,EE_R9_0p90to0p93,21.0,25.0,0.994,0.0036,0.0062,4,0,0.9974,0.0026,0.0029,0,0,0.0034,0.004924,0.007008
preBpix,unseed,EE_R9_0p90to0p93,25.0,28.0,0.999,0.001,0.0026,0,0,0.9977,0.0011,0.0011,0,0,0.0013,0.00097,0.002898
preBpix,unseed,EE_R9_0p90to0p93,28.0,31.0,0.9996,0.0004,0.001,0,0,0.9997,0.0003,0.001,4,0,0.0,0.00036,0.001
preBpix,unseed,EE_R9_0p90to0p93,31.0,35.0,0.9993,0.0007,0.001,4,0,0.9993,0.0007,0.001,0,0,0.0,0.00067,0.001
preBpix,unseed,EE_R9_0p90to0p93,35.0,40.0,0.9998,0.0002,0.001,0,0,0.9997,0.0003,0.001,0,0,0.0001,0.00018,0.001004
preBpix,unseed,EE_R9_0p90to0p93,40.0,45.0,0.9999,0.0001,0.001,4,0,0.9999,0.0001,0.001,4,0,0.0,8e-05,0.001
preBpix,unseed,EE_R9_0p90to0p93,45.0,50.0,0.9997,0.0003,0.001,0,0,0.9995,0.0005,0.001,0,0,0.0002,0.0003,0.001016
preBpix,unseed,EE_R9_0p90to0p93,50.0,60.0,0.9997,0.0003,0.001,0,0,0.9998,0.0002,0.001,0,0,0.0,0.00026,0.001001
preBpix,unseed,EE_R9_0p90to0p93,60.0,70.0,0.9989,0.001,0.001,0,0,0.9989,0.001,0.001,0,0,0.0,0.001,0.001
preBpix,unseed,EE_R9_0p90to0p93,70.0,90.0,0.9977,0.0021,0.0021,0,0,0.9967,0.0026,0.0026,0,0,0.001,0.00229,0.002321
preBpix,unseed,EE_R9_0p90to0p93,90.0,999999.0,0.9984,0.001,0.001,0,0,0.9983,0.001,0.001,0,0,0.0,0.001,0.001
preBpix,unseed,EE_R9gt0p93,0.0,21.0,0.9702,0.0107,0.0028,0,0,0.9719,0.0049,0.0027,4,4,0.0017,0.010797,0.003276
preBpix,unseed,EE_R9gt0p93,21.0,25.0,0.9949,0.004,0.0014,4,0,0.9987,0.001,0.001,4,0,0.0038,0.0051,0.004052
preBpix,unseed,EE_R9gt0p93,25.0,28.0,0.9983,0.001,0.001,0,0,0.9991,0.0009,0.001,4,0,0.0008,0.0013,0.0013
preBpix,unseed,EE_R9gt0p93,28.0,31.0,0.9991,0.0009,0.001,0,0,0.9989,0.001,0.001,0,4,0.0002,0.00094,0.001018
preBpix,unseed,EE_R9gt0p93,31.0,35.0,0.9998,0.0002,0.001,0,0,0.9995,0.0005,0.001,0,0,0.0002,0.00022,0.001028
preBpix,unseed,EE_R9gt0p93,35.0,40.0,0.9997,0.0003,0.001,0,0,0.9997,0.0003,0.001,4,0,0.0,0.00027,0.001
preBpix,unseed,EE_R9gt0p93,40.0,45.0,0.9999,0.0001,0.001,4,0,0.9999,0.0001,0.001,4,0,0.0,6e-05,0.001
preBpix,unseed,EE_R9gt0p93,45.0,50.0,0.9999,0.0001,0.001,0,0,0.9999,0.0001,0.001,0,0,0.0001,6e-05,0.001001
preBpix,unseed,EE_R9gt0p93,50.0,60.0,1.0,0.0,0.001,0,0,0.9999,0.0001,0.001,4,0,0.0,5e-05,0.001
preBpix,unseed,EE_R9gt0p93,60.0,70.0,0.9999,0.0001,0.001,0,0,0.9999,0.0001,0.001,4,0,0.0,9e-05,0.001
preBpix,unseed,EE_R9gt0p93,70.0,90.0,0.9997,0.0003,0.001,0,0,0.9997,0.0003,0.001,0,0,0.0,0.00029,0.001
preBpix,unseed,EE_R9gt0p93,90.0,999999.0,0.9998,0.0002,0.001,0,0,0.9997,0.0003,0.0012,0,0,0.0,0.00025,0.001
