era,trigger,eta_r9_bin,pt_lo,pt_hi,eff_cms,err_cms,status_pass_cms,status_fail_cms,eff_exp,err_exp,status_pass_exp,status_fail_exp,bkg_syst,total_unc,plot_cms,plot_exp
postBpix,seed,EE_R9_0p90to0p93,35.0,37.0,0.9156,0.0035,0,0,0.9153,0.0035,0,0,0.0003,0.003513,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EE_R9_0p90to0p93/sig_bwDscb_bkg_RooCMSShape/bin01_ph_sc_abseta_1p57To2p50_ph_sc_et_35p00To37p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EE_R9_0p90to0p93/sig_bwDscb_bkg_Exponential/bin01_ph_sc_abseta_1p57To2p50_ph_sc_et_35p00To37p00.png
postBpix,seed,EE_R9_0p90to0p93,37.0,40.0,0.9401,0.015,0,0,0.9392,0.0015,0,0,0.0009,0.015027,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EE_R9_0p90to0p93/sig_bwDscb_bkg_RooCMSShape/bin02_ph_sc_abseta_1p57To2p50_ph_sc_et_37p00To40p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EE_R9_0p90to0p93/sig_bwDscb_bkg_Exponential/bin02_ph_sc_abseta_1p57To2p50_ph_sc_et_37p00To40p00.png
postBpix,seed,EE_R9_0p90to0p93,40.0,45.0,0.952,0.0008,4,0,0.9522,0.0004,4,0,0.0002,0.000825,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EE_R9_0p90to0p93/sig_bwDscb_bkg_RooCMSShape/bin03_ph_sc_abseta_1p57To2p50_ph_sc_et_40p00To45p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EE_R9_0p90to0p93/sig_bwDscb_bkg_Exponential/bin03_ph_sc_abseta_1p57To2p50_ph_sc_et_40p00To45p00.png
postBpix,seed,EE_R9_0p90to0p93,45.0,50.0,0.9612,0.002,0,0,0.9611,0.0017,0,0,0.0001,0.002002,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EE_R9_0p90to0p93/sig_bwDscb_bkg_RooCMSShape/bin04_ph_sc_abseta_1p57To2p50_ph_sc_et_45p00To50p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EE_R9_0p90to0p93/sig_bwDscb_bkg_Exponential/bin04_ph_sc_abseta_1p57To2p50_ph_sc_et_45p00To50p00.png
postBpix,seed,EE_R9_0p90to0p93,50.0,60.0,0.963,0.0031,0,0,0.9623,0.0033,0,0,0.0007,0.003178,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EE_R9_0p90to0p93/sig_bwDscb_bkg_RooCMSShape/bin05_ph_sc_abseta_1p57To2p50_ph_sc_et_50p00To60p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EE_R9_0p90to0p93/sig_bwDscb_bkg_Exponential/bin05_ph_sc_abseta_1p57To2p50_ph_sc_et_50p00To60p00.png
postBpix,seed,EE_R9_0p90to0p93,60.0,70.0,0.9629,0.0054,4,0,0.974,0.0063,0,0,0.0111,0.012344,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EE_R9_0p90to0p93/sig_bwDscb_bkg_RooCMSShape/bin06_ph_sc_abseta_1p57To2p50_ph_sc_et_60p00To70p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EE_R9_0p90to0p93/sig_bwDscb_bkg_Exponential/bin06_ph_sc_abseta_1p57To2p50_ph_sc_et_60p00To70p00.png
postBpix,seed,EE_R9_0p90to0p93,70.0,90.0,0.9724,0.0067,0,0,0.9726,0.0058,0,0,0.0002,0.006703,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EE_R9_0p90to0p93/sig_bwDscb_bkg_RooCMSShape/bin07_ph_sc_abseta_1p57To2p50_ph_sc_et_70p00To90p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EE_R9_0p90to0p93/sig_bwDscb_bkg_Exponential/bin07_ph_sc_abseta_1p57To2p50_ph_sc_et_70p00To90p00.png
postBpix,seed,EE_R9_0p90to0p93,90.0,999999.0,0.9915,0.0028,0,0,0.9917,0.003,0,0,0.0002,0.002807,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EE_R9_0p90to0p93/sig_bwDscb_bkg_RooCMSShape/bin08_ph_sc_abseta_1p57To2p50_ph_sc_et_90p00To999999p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EE_R9_0p90to0p93/sig_bwDscb_bkg_Exponential/bin08_ph_sc_abseta_1p57To2p50_ph_sc_et_90p00To999999p00.png
postBpix,seed,EE_R9gt0p93,0.0,35.0,0.8574,0.0036,0,0,0.8354,0.0005,0,4,0.022,0.022293,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EE_R9gt0p93/sig_bwDscb_bkg_RooCMSShape/bin00_ph_sc_abseta_1p57To2p50_ph_sc_et_0p00To35p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EE_R9gt0p93/sig_bwDscb_bkg_Exponential/bin00_ph_sc_abseta_1p57To2p50_ph_sc_et_0p00To35p00.png
postBpix,seed,EE_R9gt0p93,35.0,37.0,0.9398,0.001,0,0,0.9394,0.0009,0,0,0.0004,0.001077,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EE_R9gt0p93/sig_bwDscb_bkg_RooCMSShape/bin01_ph_sc_abseta_1p57To2p50_ph_sc_et_35p00To37p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EE_R9gt0p93/sig_bwDscb_bkg_Exponential/bin01_ph_sc_abseta_1p57To2p50_ph_sc_et_35p00To37p00.png
