era,trigger,eta_r9_bin,pt_lo,pt_hi,eff_cms,err_hi_cms,err_lo_cms,status_pass_cms,status_fail_cms,eff_exp,err_hi_exp,err_lo_exp,status_pass_exp,status_fail_exp,bkg_syst,total_unc_hi,total_unc_lo
postBpix,unseed,EB_R9gt0p85,40.0,45.0,0.9764,0.0001,0.0001,0,0,0.9764,0.0002,0.0002,0,0,0.0,0.0001,0.0001
postBpix,unseed,EB_R9gt0p85,45.0,50.0,0.9782,0.0004,0.0004,0,0,0.9778,0.0002,0.0002,0,0,0.0004,0.000566,0.000566
postBpix,unseed,EB_R9gt0p85,50.0,60.0,0.9793,0.001,0.001,4,0,0.9769,0.0003,0.0003,0,4,0.0024,0.0026,0.0026
postBpix,unseed,EB_R9gt0p85,60.0,70.0,0.9768,0.0008,0.0008,0,4,0.9776,0.0025,0.0008,4,0,0.0008,0.001131,0.001131
postBpix,unseed,EB_R9gt0p85,70.0,90.0,0.9848,0.0013,0.0032,4,0,0.982,0.0013,0.0013,0,0,0.0028,0.003087,0.004252
postBpix,unseed,EB_R9gt0p85,90.0,999999.0,0.9848,0.0028,0.0013,4,0,0.9839,0.0018,0.0008,0,0,0.0009,0.002941,0.001581
postBpix,unseed,EE_R9_0p90to0p93,0.0,21.0,0.6823,0.0353,0.061,0,4,0.7025,0.0369,0.0496,0,0,0.0202,0.040671,0.064258
postBpix,unseed,EE_R9_0p90to0p93,21.0,25.0,0.88,0.0081,0.0089,0,0,0.8813,0.0152,0.0148,4,0,0.0013,0.008204,0.008994
postBpix,unseed,EE_R9_0p90to0p93,25.0,28.0,0.92,0.0106,0.0329,4,0,0.8957,0.005,0.0052,0,0,0.0243,0.026511,0.040901
postBpix,unseed,EE_R9_0p90to0p93,28.0,31.0,0.9341,0.0159,0.0159,4,4,0.9149,0.0038,0.0041,4,0,0.0192,0.024929,0.024929
postBpix,unseed,EE_R9_0p90to0p93,31.0,35.0,0.9386,0.0026,0.0026,4,4,0.9378,0.0025,0.0026,4,0,0.0008,0.00272,0.00272
postBpix,unseed,EE_R9_0p90to0p93,35.0,40.0,0.9577,0.0044,0.0025,0,0,0.9567,0.0016,0.0016,0,0,0.001,0.004512,0.002693
postBpix,unseed,EE_R9_0p90to0p93,40.0,45.0,0.9678,0.0015,0.0014,0,0,0.9673,0.0013,0.0013,0,0,0.0005,0.001581,0.001487
postBpix,unseed,EE_R9_0p90to0p93,45.0,50.0,0.9731,0.002,0.002,0,0,0.9727,0.0015,0.0015,0,0,0.0004,0.00204,0.00204
postBpix,unseed,EE_R9_0p90to0p93,50.0,60.0,0.9728,0.0042,0.0047,0,4,0.9727,0.0033,0.0028,4,0,0.0001,0.004201,0.004701
postBpix,unseed,EE_R9_0p90to0p93,60.0,70.0,0.9774,0.0044,0.0051,4,0,0.9786,0.0066,0.0047,4,0,0.0012,0.004561,0.005239
postBpix,unseed,EE_R9_0p90to0p93,70.0,90.0,0.9754,0.0059,0.0062,0,0,0.9763,0.0054,0.0071,0,0,0.0009,0.005968,0.006265
postBpix,unseed,EE_R9_0p90to0p93,90.0,999999.0,0.9871,0.0037,0.0045,0,0,0.9876,0.0036,0.0043,0,0,0.0005,0.003734,0.004528
postBpix,unseed,EE_R9gt0p93,0.0,21.0,0.7278,0.0158,0.0117,0,4,0.746,0.035,0.0222,4,0,0.0182,0.024101,0.021636
postBpix,unseed,EE_R9gt0p93,21.0,25.0,0.9027,0.002,0.002,4,4,0.8903,0.005,0.0053,4,4,0.0124,0.01256,0.01256
postBpix,unseed,EE_R9gt0p93,25.0,28.0,0.9341,0.0043,0.0045,4,0,0.9246,0.0057,0.0029,0,0,0.0095,0.010428,0.010512
postBpix,unseed,EE_R9gt0p93,28.0,31.0,0.9661,0.001,0.0009,4,0,0.9432,0.0005,0.001,0,4,0.0229,0.022922,0.022918
postBpix,unseed,EE_R9gt0p93,31.0,35.0,0.9701,0.002,0.002,0,0,0.9614,0.0003,0.0003,0,0,0.0087,0.008927,0.008927
postBpix,unseed,EE_R9gt0p93,35.0,40.0,0.9732,0.0008,0.0005,4,0,0.973,0.0004,0.0004,4,4,0.0002,0.000825,0.000539
